Outcome,GEOID,State,Name,ProjectType,ProjectDescription,ProjectAmount,PDMProgramFY,DisasterCount,POVERTY_RATE,PCT_WHITE,PCT_BLACK,PCT_NATIVE,PCT_ASIAN,PCT_TWO_OR_MORE,PCT_HISPANIC
Grant,18117,IN,"Orange County, Indiana",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,33333,2000,7,11.6,96.6,1.3,0.1,0.5,1.1,1.4
Grant,50003,VT,"Bennington County, Vermont",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,16600,2000,9,9.3,96.2,1,0.1,0.4,2.1,1.8
Grant,50021,VT,"Rutland County, Vermont",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,21800,2000,9,7.3,96.6,0.8,0.4,1.1,0.9,1.4
Grant,50027,VT,"Windsor County, Vermont",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,15000,2000,11,6.1,95.9,0.7,0.2,0.8,1.8,1.5
Grant,45079,SC,"Richland County, South Carolina",700.1, Management Costs - Salaries,50000,2000,6,12.1,46,46.6,0.1,2.7,2.8,5
Grant,50015,VT,"Lamoille County, Vermont",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,15010,2000,16,10.1,95.8,0.9,0.8,0.6,1.7,1.6
Grant,17161,IL,"Rock Island County, Illinois",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,591722,2000,5,11,81.6,10,0.3,2.4,3.5,12.6
Grant,50025,VT,"Windham County, Vermont",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,21800,2000,9,9.9,94.8,0.9,0.1,1,2.8,2.2
Grant,15001,HI,"Hawaii County, Hawaii",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,100000,2000,8,12.7,33.9,0.6,0.4,22.2,28.6,12.5
Grant,15001,HI,"Hawaii County, Hawaii",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,40000,2000,8,12.7,33.9,0.6,0.4,22.2,28.6,12.5
Grant,18013,IN,"Brown County, Indiana",90.4, Mitigation Plan - Local Multihazard Mitigation Plan,53333,2000,5,6.1,96.9,0.5,0,0.8,1.5,1.6
Grant,17161,IL,"Rock Island County, Illinois",200.1, Acquisition of Private Real Property (Structures and Land) - Riverine,591722,2000,5,11,81.6,10,0.3,2.4,3.5,12.6
